,Station,lat,lon,Elevation
322,MR000001450,18.57,-11.43,399.0
323,MR000001461,17.53,-14.68,85.0
324,MR000001497,16.62,-7.27,269.0
325,MR000001498,16.63,-11.4,110.0
326,MR000001499,16.73,-9.63,235.0
327,MR000061401,25.233,-11.617,360.0
328,MR000061415,20.933,-17.033,3.0
329,MR000061421,20.517,-13.067,224.0
330,MR000061450,18.567,-11.433,402.0
331,MR000061497,16.6,-7.267,269.0
332,MRM00061404,22.75,-12.483,343.0
333,MRM00061492,16.16,-13.508,22.9
334,MP000061988,-19.683,63.417,59.0
335,MP000061990,-20.433,57.683,57.0
336,MP000061995,-20.3,57.5,425.0
337,MZ000067215,-12.983,40.533,50.0
338,MZ000067217,-13.3,35.233,1365.0
339,MZ000067237,-15.1,39.283,441.0
340,MZ000067261,-16.183,33.583,150.0
341,MZ000067283,-17.883,36.883,16.0
342,MZ000067295,-19.117,33.467,732.0
343,MZ000067297,-19.8,34.9,16.0
344,MZ000067323,-23.867,35.383,15.0
345,MZ000067335,-25.05,33.633,5.0
346,MZM00067205,-11.362,40.355,27.1
347,MZM00067223,-13.133,39.033,535.0
348,MZM00067231,-14.817,36.533,607.0
349,MZM00067241,-15.033,40.672,10.1
350,MZM00067273,-16.217,39.9,62.0
351,MZM00067315,-22.018,35.313,14.0
352,MZM00067327,-24.05,34.05,150.0
353,MZM00067331,-24.483,32.083,151.0
354,MZM00067341,-25.921,32.573,44.2
355,MZM00067346,-26.283,32.183,104.0
356,SF008125670,-22.45,31.317,202.0
357,WA002737540,-28.57,16.43,30.0
358,WA002783020,-28.53,18.68,700.0
359,WA002793040,-28.57,19.18,800.0
360,WA003102220,-28.2,17.63,523.0
361,WA003114490,-28.48,18.25,840.0
362,WA003123970,-28.12,18.73,970.0
363,WA003124170,-28.45,18.73,705.0
364,WA003124220,-28.03,18.75,1000.0
365,WA003127790,-28.48,18.93,888.0
366,WA003140320,-28.03,19.53,800.0
367,WA003144820,-28.03,19.78,800.0
368,WA003145770,-28.12,19.83,774.0
369,WA003475270,-27.78,18.3,1005.0
370,WA003490820,-27.87,19.05,959.0
371,WA003491580,-27.63,19.1,1020.0
372,WA003501130,-27.88,19.57,850.0
373,WA003501510,-27.52,19.6,848.0
374,WA003503500,-27.83,19.7,853.0
375,WA003505420,-27.53,19.82,820.0
376,WA003805190,-27.15,16.8,1380.0
377,WA003826120,-27.2,17.85,704.0
378,WA003840230,-27.38,18.52,1405.0
379,WA003844080,-27.3,18.73,1615.0
380,WA003848520,-27.2,18.98,1390.0
381,WA003852330,-27.38,19.13,1250.0
382,WA003855160,-27.1,19.3,1020.0
383,WA004150450,-26.75,16.03,1200.0
384,WA004155510,-26.68,16.32,1480.0
385,WA004162280,-26.8,16.63,1345.0
386,WA004166110,-26.68,16.85,1370.0
387,WA004174050,-26.75,17.23,940.0
388,WA004185290,-26.82,17.8,705.0
389,WA004191820,-26.53,18.12,1077.0
390,WA004192150,-26.58,18.13,980.0
391,WA004202140,-26.57,18.63,900.0
392,WA004216960,-26.6,19.4,990.0
393,WA004222570,-26.78,19.65,970.0
394,WA004225380,-26.97,19.8,918.0
395,WA004528170,-26.12,16.47,1600.0
396,WA004542700,-26.5,17.15,1000.0
397,WA004560270,-26.45,18.02,1140.0
398,WA004586390,-26.15,19.37,1006.0
399,WA004893360,-25.6,16.2,1450.0
400,WA004901320,-25.7,16.58,1620.0
401,WA004906230,-25.88,16.85,1390.0
402,WA004906620,-25.53,16.88,1735.0
403,WA004912120,-25.53,17.13,1480.0
404,WA004913570,-25.95,17.2,1413.0
405,WA004925090,-25.98,17.78,925.0
406,WA004932330,-25.88,18.13,980.0
407,WA004952670,-25.95,19.15,985.0
408,WA004955340,-25.9,19.3,1000.0
409,WA005266790,-25.32,16.38,1260.0
410,WA005270170,-25.28,16.52,1460.0
411,WA005274300,-25.17,16.75,1223.0
412,WA005294280,-25.13,17.75,1010.0
413,WA005294520,-25.03,17.77,1060.0
414,WA005307000,-25.17,18.4,1158.0
415,WA005310370,-25.12,18.53,1144.0
416,WA005318490,-25.15,18.98,1090.0
417,WA005321730,-25.38,19.1,1060.0
418,WA005656660,-24.6,16.38,1590.0
419,WA005663090,-24.65,16.68,1186.0
420,WA005668600,-24.83,16.98,1340.0
421,WA005680950,-24.58,17.57,1190.0
422,WA005683070,-24.62,17.68,1191.0
423,WA005688170,-24.62,17.97,1110.0
424,WA005700880,-24.97,18.55,1152.0
425,WA005701860,-24.6,18.62,1158.0
426,WA005705310,-24.85,18.8,1125.0
427,WA005706370,-24.62,18.87,1162.0
428,WA006083760,-24.27,16.22,1850.0
429,WA006084880,-24.13,16.28,1870.0
430,WA006092700,-24.5,16.65,1380.0
431,WA006095670,-24.45,16.82,1320.0
432,WA006097340,-24.23,16.92,1320.0
433,WA006108840,-24.23,17.5,1200.0
434,WA006111530,-24.05,17.6,1240.0
435,WA006112870,-24.28,17.67,1185.0
436,WA006118230,-24.22,17.97,1235.0
437,WA006125020,-24.37,18.28,1188.0
438,WA006127330,-24.22,18.42,1196.0
439,WA006127710,-24.35,18.43,1174.0
440,WA006128970,-24.45,18.5,1165.0
441,WA006133750,-24.25,18.72,1196.0
442,WA006141880,-24.13,19.12,1185.0
443,WA006144060,-24.27,19.23,1140.0
444,WA006150210,-24.35,19.52,1153.0
445,WA006156670,-24.12,19.88,1178.0
446,WA006490640,-23.567,15.05,400.0
447,WA006508360,-23.93,15.97,985.0
448,WA006511920,-23.7,16.12,1100.0
449,WA006515490,-23.65,16.32,1826.0
450,WA006538810,-23.68,17.5,1250.0
451,WA006546460,-23.77,17.87,1300.0
452,WA006548020,-23.87,17.95,1800.0
453,WA006548420,-23.53,17.98,1300.0
454,WA006552550,-23.75,18.15,1276.0
455,WA006553970,-23.62,18.23,1296.0
456,WA006555030,-23.88,18.28,1267.0
457,WA006560280,-23.97,18.52,1250.0
458,WA006564570,-23.62,18.77,1260.0
459,WA006565410,-23.52,18.82,1273.0
460,WA006565820,-23.7,18.83,1230.0
461,WA006567710,-23.85,18.93,1220.0
462,WA006570360,-23.6,19.03,1266.0
463,WA006961830,-23.05,16.62,1750.0
464,WA006964920,-23.2,16.78,1650.0
465,WA006981140,-23.4,17.57,1400.0
466,WA006987780,-23.47,17.93,1350.0
467,WA006990520,-23.37,18.03,1356.0
468,WA007010240,-23.4,19.02,1332.0
469,WA007350110,-22.68,14.53,12.0
470,WA007372370,-22.95,15.63,1110.0
471,WA007375270,-22.78,15.8,1240.0
472,WA007376930,-22.55,15.9,1032.0
473,WA007384350,-22.75,16.25,1400.0
474,WA007385190,-22.65,16.3,1320.0
475,WA007386470,-22.78,16.37,1665.0
476,WA007387890,-22.65,16.45,1600.0
477,WA007393660,-22.6,16.72,1740.0
478,WA007394840,-22.57,16.78,1820.0
479,WA007398130,-22.55,16.97,1650.0
480,WA007400630,-22.55,17.05,1640.0
481,WA007401240,-22.57,17.08,1660.0
482,WA007401350,-22.75,17.08,1840.0
483,WA007401540,-22.567,17.1,1700.0
484,WA007401850,-22.58,17.12,1740.0
485,WA007405750,-22.58,17.33,1680.0
486,WA007406770,-22.78,17.38,1725.0
487,WA007407110,-22.85,17.4,1820.0
488,WA007407920,-22.7,17.45,1780.0
489,WA007413260,-22.93,17.68,1600.0
490,WA007423480,-22.8,18.2,1458.0
491,WA007424150,-22.92,18.23,1407.0
492,WA007431170,-22.95,18.57,1350.0
493,WA007433700,-22.67,18.72,1418.0
494,WA007436670,-22.62,18.88,1437.0
495,WA007444190,-22.98,19.23,1417.0
496,WA007444590,-22.65,19.27,1456.0
497,WA007810860,-22.43,15.55,968.0
498,WA007813090,-22.15,15.68,1190.0
499,WA007815220,-22.2,15.8,1084.0
500,WA007818150,-22.08,15.97,1294.0
501,WA007821460,-22.43,16.08,925.0
502,WA007822320,-22.37,16.13,910.0
503,WA007827040,-22.23,16.4,1180.0
504,WA007828730,-22.05,16.5,1320.0
505,WA007833550,-22.42,16.7,1545.0
506,WA007835340,-22.4,16.8,1600.0
507,WA007835770,-22.12,16.83,1260.0
508,WA007837030,-22.22,16.9,1420.0
509,WA007837680,-22.3,16.93,1380.0
510,WA007841360,-22.27,17.08,1660.0
511,WA007843280,-22.47,17.18,1020.0
512,WA007844480,-22.47,17.25,2000.0
513,WA007845980,-22.47,17.33,1860.0
514,WA007846300,-22.5,17.35,1780.0
515,WA007847200,-22.5,17.4,1740.0
516,WA007847230,-22.05,17.42,1620.0
517,WA007848260,-22.27,17.47,1755.0
518,WA007848390,-22.483,17.467,1700.0
519,WA007851770,-22.45,17.6,1620.0
520,WA007851830,-22.05,17.62,1764.0
521,WA007852200,-22.17,17.63,1720.0
522,WA007854900,-22.17,17.78,1653.0
523,WA007860970,-22.12,18.07,1633.0
524,WA007862830,-22.22,18.17,1583.0
525,WA007868650,-22.42,18.48,1450.0
526,WA007872630,-22.38,18.65,1484.0
527,WA007877120,-22.37,18.9,1474.0
528,WA007878380,-22.5,18.967,1400.0
529,WA007897980,-22.3,19.95,1290.0
530,WA008227940,-21.73,13.98,5.0
531,WA008261490,-21.98,15.58,873.0
532,WA008275650,-21.92,16.32,1341.0
533,WA008278480,-21.63,16.48,1450.0
534,WA008286550,-21.92,16.87,1400.0
535,WA008292250,-21.75,17.13,1550.0
536,WA008298550,-21.75,17.48,1500.0
537,WA008304520,-21.53,17.77,1550.0
538,WA008305800,-21.67,17.83,1500.0
539,WA008314390,-21.82,18.25,1653.0
540,WA008326850,-21.92,18.88,1556.0
541,WA008332220,-21.7,19.13,1461.0
542,WA008337530,-21.55,19.43,1428.0
543,WA008698420,-21.03,15.48,1205.0
544,WA008704030,-21.22,15.73,1240.0
545,WA008706200,-21.33,15.85,1350.0
546,WA008707750,-21.417,15.933,1217.0
547,WA008712590,-21.32,16.15,1200.0
548,WA008712780,-21.13,16.17,1500.0
549,WA008713630,-21.05,16.22,1500.0
550,WA008714110,-21.35,16.23,1400.0
551,WA008727100,-21.33,16.9,1400.0
552,WA008730930,-21.05,17.07,1400.0
553,WA008731170,-21.45,17.07,1400.0
554,WA008733220,-21.37,17.18,1400.0
555,WA008734510,-21.02,17.27,1400.0
556,WA008746490,-21.32,17.87,1450.0
557,WA008746590,-21.48,17.87,1550.0
558,WA008751070,-21.28,18.07,1520.0
559,WA008752040,-21.4,18.12,1574.0
560,WA008754450,-21.42,18.25,1625.0
