station,latitude,longitude,elevation,Temp_mean_min,Temp_mean_max,Temp_mean_avg,Temp_mean_range
CD000004751,13.22,18.33,334.0,21.451028062970583,37.34891854893899,29.399973305954774,15.897890485968482
CD000004753,18.0,19.17,234.0,19.360663928815967,35.76844353182752,27.5645537303216,16.407779603011686
CD000004754,11.03,20.28,436.0,21.39675975359342,36.14835592060228,28.772557837097917,14.751596167008909
CD000004756,13.85,20.85,549.0,20.90005065023961,36.80092950034216,28.850490075290885,15.900878850102709
CD000004758,12.18,18.68,430.0,20.930075290896653,36.041867214236795,28.485971252566653,15.111791923340151
CD000064706,8.567,16.067,429.0,21.32786310746059,34.389668720054765,27.858765913757654,13.061805612594107
CD000064751,13.217,18.317,334.0,21.451028062970583,37.34891854893899,29.399973305954774,15.897890485968482
CD000064753,18.0,19.167,234.0,19.360663928815967,35.76844353182752,27.5645537303216,16.407779603011686
CD000064754,11.033,20.283,436.0,21.39675975359342,36.14835592060228,28.772557837097917,14.751596167008909
CF000004400,-4.82,11.9,17.0,24.068245037645497,26.81670499657764,25.44247501711158,2.7484599589322256
CF000004401,-4.18,12.67,330.0,21.38101984941822,29.952948665297676,25.666984257357928,8.571928815879517
CF000004402,-4.0,13.95,509.0,21.041460643394934,29.692290212183444,25.366875427789203,8.650829568788504
CF000004405,-3.68,13.35,531.0,20.98128678986988,28.731419575633193,24.85635318275158,7.7501327857631646
CF000004450,-4.25,15.25,314.0,20.864617385352435,29.512099931553696,25.188358658453105,8.647482546201257
CF000004452,-2.62,16.22,312.0,21.8698083504447,29.820674880219038,25.845241615331858,7.950866529774134
CF000004453,-2.53,14.77,789.0,20.393928815879537,29.048944558521534,24.72143668720055,8.655015742642046
CF000004454,-1.9,15.85,377.0,21.128992470910344,29.419549623545514,25.274271047227813,8.290557152635186
CF000004456,0.02,15.58,381.0,21.59264065708427,29.159644079397648,25.376142368240888,7.567003422313491
CF000004458,1.62,16.05,340.0,21.920672142368208,29.62735660506493,25.774014373716632,7.706684462696804
CF000004459,1.62,18.07,326.0,22.763325119780927,30.09494866529771,26.429136892539333,7.331623545516759
CF000004460,-2.67,14.05,547.0,20.166212183436006,27.928084873374416,24.04714852840527,7.761872689938379
CF000064459,1.617,18.067,327.0,22.763325119780927,30.09494866529771,26.429136892539333,7.331623545516759
CFM00064403,-3.483,12.617,161.0,21.611051334702196,29.967577002053336,25.789314168377867,8.356525667351104
CFM00064460,2.067,14.133,550.0,20.795782340862413,29.54498562628336,25.170383983572886,8.749203285420936
IV000005528,9.5,-7.57,432.0,20.5967378507871,33.06392607802874,26.83033196440791,12.467188227241614
IV000005539,9.58,-5.2,323.0,21.408640657084163,33.542769336071125,27.475704996577655,12.134128678986997
IV000005548,7.38,-7.38,339.0,20.369178644763856,29.7962039698836,25.082691307323806,9.427025325119782
IV000005555,7.68,-5.03,369.0,21.78525667351129,31.70363860369614,26.744447638603646,9.91838193018484
IV000005557,6.13,-5.95,205.0,21.787200547570173,30.153941136208154,25.970570841889128,8.366740588637924
IV000005562,6.65,-4.7,110.0,22.24754414784399,31.630577686516197,26.939060917180036,9.383033538672167
IV000005578,5.25,-3.93,7.0,25.5494798083504,27.818848733744016,26.684164271047283,2.269368925393567
IV000005585,5.28,-3.3,38.0,23.63384668035594,29.466536618754283,26.550191649555227,5.832689938398353
IV000005592,4.42,-7.37,4.0,24.02793155373033,28.52844353182765,26.278187542778888,4.500511978097199
IV000009999,5.25,-3.93,10.0,25.5494798083504,27.818848733744016,26.684164271047283,2.269368925393567
IV00000I096,5.32,-4.02,20.0,23.79781108829558,29.662674880219054,26.730242984257412,5.864863791923352
IV000065528,9.5,-7.567,421.0,20.5967378507871,33.06392607802874,26.83033196440791,12.467188227241614
IV000065585,5.3,-3.3,39.0,23.63384668035594,29.466536618754283,26.550191649555227,5.832689938398353
IV000065599,4.95,-6.083,66.0,24.085240246406528,28.35567830253261,26.22045927446945,4.270438056125953
IVM00065536,9.387,-5.557,370.0,21.136425735797356,33.30050513347021,27.218465434633853,12.164079397672857
IVM00065545,8.05,-2.783,370.0,21.592657084188975,32.275082819986345,26.93386995208764,10.682425735797421
IVM00065560,6.793,-6.473,250.9,21.601815195071946,31.0379534565365,26.31988432580417,9.436138261464764
IVM00065563,6.903,-5.366,213.1,21.800591375770054,31.46912114989723,26.634856262833743,9.66852977412733
IVM00065578,5.261,-3.926,6.4,23.79781108829558,29.662674880219054,26.730242984257412,5.864863791923352
IVM00065594,4.747,-6.661,7.9,24.99775496235447,27.72752498288849,26.36263997262146,2.7297700205338744
CFM00064463,-5.583,14.817,438.0,19.76907186858305,29.682785763175932,24.725928815879556,9.913713894592712
CGM00064005,0.023,18.289,317.0,23.442220396988375,29.616996577686457,26.529608487337494,6.17477618069816
CGM00064108,-3.311,17.382,324.0,22.738918548939036,31.033631759069053,26.886275154004014,8.294713210130059
CGM00064115,-1.967,18.267,300.0,23.136417522244994,29.99042573579734,26.563421629021136,6.854008213552359
CGM00064204,-5.85,13.1,8.0,21.988444900752885,31.303998631074542,26.64622176591364,9.315553730321676
CGM00064206,-5.517,13.583,277.0,21.324958247775456,30.635739904175317,25.980349075975468,9.310781656399728
CGM00064207,-5.8,13.433,340.0,21.988444900752885,31.303998631074542,26.64622176591364,9.315553730321676
CGM00064210,-4.386,15.445,313.0,20.721522245037665,29.290663928815857,25.00609308692668,8.569141683778264
CGM00064220,-4.367,15.25,445.0,20.864617385352435,29.512099931553696,25.188358658453105,8.647482546201257
CGM00064222,-5.036,18.786,479.1,21.36910061601643,30.97742642025997,26.173263518138263,9.60832580424368
CGM00064228,-6.417,20.85,481.0,20.788015058179365,31.19862149212879,25.99331827515401,10.410606433949336
CGM00064235,-5.9,22.469,652.0,20.692944558521564,30.620432580424318,25.656688569472955,9.927488021902787
CGM00064247,-6.167,23.617,677.0,20.747412731006175,31.12743874058866,25.937425735797415,10.38002600958245
CGM00064360,-11.591,27.531,1309.1,14.627578370978753,28.111441478439463,21.36950992470914,13.48386310746061
SU000062840,9.55,31.65,388.0,23.096631074606464,35.45208213552361,29.274356605065005,12.355451060917204
SU000062880,7.7,28.017,438.0,21.929657768651488,34.93839151266254,28.434024640657203,13.008733744010986
SU000062941,4.867,31.6,457.0,23.199019849418264,34.95378097193703,29.076400410677728,11.754761122518847
SUM00062801,11.75,32.783,282.0,22.833119780971934,35.14012046543461,28.986620123203394,12.307000684462711
EKM00064810,3.755,8.709,23.2,26.516658453114417,27.479593429158108,26.998125941136195,0.9629349760438037
EKM00064820,1.9,9.8,8.0,23.124277891854998,27.586417522245007,25.355347707049948,4.462139630390138
ER000063021,15.283,38.917,2325.0,16.89061738535249,30.464219028062974,23.677418206707657,13.573601642710475
ER000063023,15.617,39.45,10.0,24.434357289527647,33.98010951403148,29.20723340177963,9.545752224503788
ET000063330,13.5,39.483,2070.0,12.298550308008275,26.34984120465436,19.32419575633124,14.051290896646142
ET000063331,12.55,37.417,1967.0,14.506631074606439,26.099645448323116,20.303138261464717,11.593014373716624
ET000063332,11.6,37.417,1770.0,13.619652292950004,25.499644079397715,19.55964818617379,11.87999178644764
ET000063333,11.117,39.733,1903.0,16.63100889801509,29.078514715947914,22.854761806981536,12.447505817932946
ET000063334,10.333,37.667,2515.0,11.475826146475027,23.987645448323093,17.73173579739903,12.511819301848071
ET000063340,9.083,36.45,2080.0,14.692757015742677,26.227232032854133,20.45999452429842,11.53447501711158
ET000063402,7.667,36.833,1725.0,12.98154414784391,23.293909650924032,18.13772689938402,10.312365503080098
ET000063403,8.15,35.533,2002.0,13.173103353867212,23.73287474332665,18.45298904859683,10.559771389459245
ET000063450,9.033,38.75,2354.0,9.694169746748791,23.507926078028685,16.60104791238881,13.813756331279924
ET000063451,8.733,38.95,1900.0,11.584203969883664,25.142739219712485,18.36347159479805,13.55853524982886
ET000063453,8.87,39.9,930.0,18.941819301847968,32.997463381245694,25.969641341547067,14.055644079397682
ET000063460,7.083,38.483,1750.0,9.9593155373032,22.37289527720736,16.166105407255273,12.413579739904137
ET000063471,9.6,41.85,1260.0,14.936231348391507,28.446376454483087,21.691303901437287,13.510145106091697
ET000063473,9.333,42.717,1644.0,13.326061601642698,27.713285420944516,20.519673511293707,14.387223819301845
ET000063474,7.133,40.0,2480.0,6.93332238193018,18.684145106091776,12.808733744010942,11.750822724161548
ET000063478,5.9,43.583,295.0,21.931414099931523,34.96130458590007,28.446359342915912,13.029890485968547
ET000063500,6.083,37.633,1290.0,16.342583162217668,26.89331690622859,21.617950034223107,10.550733744010964
ET000063533,5.33,39.57,1544.0,15.638606433949331,29.1560889801507,22.397347707049903,13.517482546201279
KE000063619,3.533,39.033,1097.0,19.4134948665298,32.10982614647503,25.761660506502512,12.69633127994521
CFM00064462,0.1,13.55,408.0,20.83299657768648,28.197112936344894,24.515054757015736,7.3641163586584675
GB000004501,-0.72,8.78,5.0,25.640980150581886,26.470161533196347,26.055570841889214,0.8291813826146511
GB000004504,1.0,9.6,16.0,25.452989733059542,27.07943600273785,26.26621286789876,1.6264462696783006
GB000004507,-2.92,11.02,83.0,21.30127173169057,29.1801273100617,25.24069952087626,7.8788555783709775
GB000004510,2.08,11.48,599.0,20.314884325804254,27.206013689253936,23.760449007529076,6.891129363449667
GB000004545,1.02,13.93,545.0,20.921635865845325,28.789408624230088,24.855522245037548,7.867772758384652
GB000004550,-1.87,11.02,89.0,21.335080082135573,28.81585626283363,25.07546817248454,7.480776180698137
GB000004551,0.72,10.22,82.0,22.460878850102656,28.445975359342828,25.453427104722735,5.98509650924024
GB000004553,-1.63,13.57,426.0,21.08791512662559,28.9263203285422,25.007117727583847,7.838405201916479
GB000004556,0.57,12.87,516.0,20.810551676933667,27.87421629021212,24.34238398357297,7.063664613278569
GB000004560,0.83,12.72,483.0,20.7839671457905,27.95116358658452,24.367565366187616,7.167196440793953
GB000004565,-1.53,13.27,572.0,20.91621765913761,28.3188186173854,24.617518138261524,7.402600958247776
GB000064552,0.783,11.533,583.0,20.430128678986943,27.379537303216996,23.9048329911019,6.949408624229982
GBM00064500,0.459,9.412,11.9,25.07428199863109,27.46191512662565,26.26809856262837,2.387633127994522
GBM00064550,-1.845,11.057,89.9,21.335080082135573,28.81585626283363,25.07546817248454,7.480776180698137
